,daily change
2005-07-08,MEDPOS
2005-07-09,MEDPOS
2005-07-10,MEDPOS
2005-07-11,SMANEG
2005-07-12,MEDPOS
2005-07-13,MEDPOS
2005-07-14,SMAPOS
2005-07-15,MEDNEG
2005-07-16,MEDNEG
2005-07-17,MEDNEG
2005-07-18,MEDPOS
2005-07-19,MEDPOS
2005-07-20,MEDNEG
2005-07-21,SMAPOS
2005-07-22,MEDNEG
2005-07-23,MEDNEG
2005-07-24,MEDNEG
2005-07-25,SMANEG
2005-07-26,MEDPOS
2005-07-27,MEDPOS
2005-07-28,MEDNEG
2005-07-29,SMANEG
2005-07-30,SMANEG
2005-07-31,SMANEG
2005-08-01,MEDPOS
2005-08-02,SMAPOS
2005-08-03,MEDNEG
2005-08-04,MEDNEG
2005-08-05,SMANEG
2005-08-06,SMANEG
2005-08-07,SMANEG
2005-08-08,MEDPOS
2005-08-09,SMANEG
2005-08-10,MEDPOS
2005-08-11,MEDNEG
2005-08-12,MEDPOS
2005-08-13,MEDPOS
2005-08-14,MEDPOS
2005-08-15,MEDNEG
2005-08-16,MEDPOS
2005-08-17,SMAPOS
2005-08-18,SMAPOS
2005-08-19,SMAPOS
2005-08-20,SMAPOS
2005-08-21,SMAPOS
2005-08-22,MEDNEG
2005-08-23,MEDNEG
2005-08-24,SMAPOS
2005-08-25,MEDNEG
2005-08-26,MEDPOS
2005-08-27,MEDPOS
2005-08-28,MEDPOS
2005-08-29,MEDNEG
2005-08-30,MEDPOS
2005-08-31,SMANEG
2005-09-01,SMANEG
2005-09-02,BIGPOS
2005-09-03,BIGPOS
2005-09-04,BIGPOS
2005-09-05,BIGPOS
2005-09-06,MEDPOS
2005-09-07,MEDNEG
2005-09-08,MEDPOS
2005-09-09,SMAPOS
2005-09-10,SMAPOS
2005-09-11,SMAPOS
2005-09-12,MEDNEG
2005-09-13,MEDNEG
2005-09-14,SMAPOS
2005-09-15,MEDPOS
2005-09-16,MEDNEG
2005-09-17,MEDNEG
2005-09-18,MEDNEG
2005-09-19,MEDNEG
2005-09-20,MEDNEG
2005-09-21,MEDPOS
2005-09-22,SMANEG
2005-09-23,SMAPOS
2005-09-24,SMAPOS
2005-09-25,SMAPOS
2005-09-26,SMAPOS
2005-09-27,SMAPOS
2005-09-28,MEDPOS
2005-09-29,SMAPOS
2005-09-30,MEDNEG
2005-10-01,MEDNEG
2005-10-02,MEDNEG
2005-10-03,MEDNEG
2005-10-04,MEDNEG
2005-10-05,MEDNEG
2005-10-06,SMAPOS
2005-10-07,MEDNEG
2005-10-08,MEDNEG
2005-10-09,MEDNEG
2005-10-10,SMAPOS
2005-10-11,MEDNEG
2005-10-12,SMANEG
2005-10-13,MEDPOS
2005-10-14,MEDPOS
2005-10-15,MEDPOS
2005-10-16,MEDPOS
2005-10-17,MEDNEG
2005-10-18,BIGPOS
2005-10-19,BIGNEG
2005-10-20,MEDNEG
2005-10-21,BIGPOS
2005-10-22,BIGPOS
2005-10-23,BIGPOS
2005-10-24,SMANEG
2005-10-25,MEDNEG
2005-10-26,MEDNEG
2005-10-27,BIGPOS
2005-10-28,MEDPOS
2005-10-29,MEDPOS
2005-10-30,MEDPOS
2005-10-31,MEDNEG
2005-11-01,MEDPOS
2005-11-02,MEDPOS
2005-11-03,SMAPOS
2005-11-04,MEDPOS
2005-11-05,MEDPOS
2005-11-06,MEDPOS
2005-11-07,MEDNEG
2005-11-08,SMAPOS
2005-11-09,MEDPOS
2005-11-10,MEDPOS
2005-11-11,SMAPOS
2005-11-12,SMAPOS
2005-11-13,SMAPOS
2005-11-14,SMANEG
2005-11-15,SMANEG
2005-11-16,MEDPOS
2005-11-17,MEDPOS
2005-11-18,MEDPOS
2005-11-19,MEDPOS
2005-11-20,MEDPOS
2005-11-21,MEDPOS
2005-11-22,MEDPOS
2005-11-23,SMAPOS
2005-11-24,SMAPOS
2005-11-25,MEDNEG
2005-11-26,MEDNEG
2005-11-27,MEDNEG
2005-11-28,SMANEG
2005-11-29,MEDNEG
2005-11-30,MEDPOS
2005-12-01,MEDNEG
2005-12-02,MEDNEG
2005-12-03,MEDNEG
2005-12-04,MEDNEG
2005-12-05,SMAPOS
2005-12-06,MEDNEG
2005-12-07,MEDNEG
2005-12-08,SMAPOS
2005-12-09,SMANEG
2005-12-10,SMANEG
2005-12-11,SMANEG
2005-12-12,MEDPOS
2005-12-13,MEDPOS
2005-12-14,SMANEG
2005-12-15,SMANEG
2005-12-16,MEDNEG
2005-12-17,MEDNEG
2005-12-18,MEDNEG
2005-12-19,MEDNEG
2005-12-20,SMAPOS
2005-12-21,MEDPOS
2005-12-22,SMANEG
2005-12-23,MEDNEG
2005-12-24,MEDNEG
2005-12-25,MEDNEG
2005-12-26,MEDNEG
2005-12-27,SMAPOS
2005-12-28,SMANEG
2005-12-29,MEDNEG
2005-12-30,BIGPOS
2005-12-31,BIGPOS
2006-01-01,BIGPOS
2006-01-02,BIGPOS
2006-01-03,MEDPOS
2006-01-04,SMAPOS
2006-01-05,MEDPOS
2006-01-06,MEDPOS
2006-01-07,MEDPOS
2006-01-08,MEDPOS
2006-01-09,SMANEG
2006-01-10,MEDPOS
2006-01-11,MEDNEG
2006-01-12,SMANEG
2006-01-13,MEDNEG
2006-01-14,MEDNEG
2006-01-15,MEDNEG
2006-01-16,MEDNEG
2006-01-17,MEDNEG
2006-01-18,SMAPOS
2006-01-19,BIGNEG
2006-01-20,SMAPOS
2006-01-21,SMAPOS
2006-01-22,SMAPOS
2006-01-23,SMAPOS
2006-01-24,SMANEG
2006-01-25,MEDPOS
2006-01-26,MEDPOS
2006-01-27,SMANEG
2006-01-28,SMANEG
2006-01-29,SMANEG
2006-01-30,MEDNEG
2006-01-31,MEDPOS
2006-02-01,MEDNEG
2006-02-02,MEDNEG
2006-02-03,SMAPOS
2006-02-04,SMAPOS
2006-02-05,SMAPOS
2006-02-06,MEDNEG
2006-02-07,MEDPOS
2006-02-08,SMAPOS
2006-02-09,MEDPOS
2006-02-10,MEDNEG
2006-02-11,MEDNEG
2006-02-12,MEDNEG
2006-02-13,BIGPOS
2006-02-14,MEDPOS
2006-02-15,MEDPOS
2006-02-16,SMANEG
2006-02-17,MEDNEG
2006-02-18,MEDNEG
2006-02-19,MEDNEG
2006-02-20,MEDNEG
2006-02-21,MEDPOS
2006-02-22,MEDNEG
2006-02-23,SMANEG
2006-02-24,MEDPOS
2006-02-25,MEDPOS
2006-02-26,MEDPOS
2006-02-27,MEDNEG
2006-02-28,MEDPOS
2006-03-01,MEDNEG
2006-03-02,SMANEG
2006-03-03,MEDNEG
2006-03-04,MEDNEG
2006-03-05,MEDNEG
2006-03-06,SMAPOS
2006-03-07,SMAPOS
2006-03-08,MEDNEG
2006-03-09,MEDPOS
2006-03-10,SMANEG
2006-03-11,SMANEG
2006-03-12,SMANEG
2006-03-13,MEDPOS
2006-03-14,MEDPOS
2006-03-15,MEDPOS
2006-03-16,SMAPOS
2006-03-17,SMANEG
2006-03-18,SMANEG
2006-03-19,SMANEG
2006-03-20,MEDNEG
2006-03-21,MEDPOS
2006-03-22,MEDNEG
2006-03-23,SMAPOS
2006-03-24,MEDNEG
2006-03-25,MEDNEG
2006-03-26,MEDNEG
2006-03-27,MEDNEG
2006-03-28,MEDPOS
2006-03-29,MEDNEG
2006-03-30,MEDNEG
2006-03-31,MEDPOS
2006-04-01,MEDPOS
2006-04-02,MEDPOS
2006-04-03,MEDPOS
2006-04-04,MEDPOS
2006-04-05,SMANEG
2006-04-06,MEDNEG
2006-04-07,SMAPOS
2006-04-08,SMAPOS
2006-04-09,SMAPOS
2006-04-10,MEDNEG
2006-04-11,MEDPOS
2006-04-12,SMAPOS
2006-04-13,MEDNEG
2006-04-14,MEDNEG
2006-04-15,MEDNEG
2006-04-16,MEDNEG
2006-04-17,BIGPOS
2006-04-18,SMAPOS
2006-04-19,MEDPOS
2006-04-20,SMAPOS
2006-04-21,SMANEG
2006-04-22,SMANEG
2006-04-23,SMANEG
2006-04-24,MEDNEG
2006-04-25,MEDPOS
2006-04-26,SMAPOS
2006-04-27,SMANEG
2006-04-28,SMANEG
2006-04-29,SMANEG
2006-04-30,SMANEG
2006-05-01,MEDPOS
2006-05-02,SMANEG
2006-05-03,MEDPOS
2006-05-04,BIGPOS
2006-05-05,SMAPOS
2006-05-06,SMAPOS
2006-05-07,SMAPOS
2006-05-08,MEDPOS
2006-05-09,SMAPOS
2006-05-10,BIGNEG
2006-05-11,MEDNEG
2006-05-12,MEDPOS
2006-05-13,MEDPOS
2006-05-14,MEDPOS
2006-05-15,SMANEG
2006-05-16,BIGNEG
2006-05-17,MEDNEG
2006-05-18,SMAPOS
2006-05-19,SMANEG
2006-05-20,SMANEG
2006-05-21,SMANEG
2006-05-22,MEDNEG
2006-05-23,SMAPOS
2006-05-24,MEDPOS
2006-05-25,MEDPOS
2006-05-26,BIGNEG
2006-05-27,BIGNEG
2006-05-28,BIGNEG
2006-05-29,BIGNEG
2006-05-30,MEDPOS
2006-05-31,MEDPOS
2006-06-01,SMANEG
2006-06-02,BIGNEG
2006-06-03,BIGNEG
2006-06-04,BIGNEG
2006-06-05,MEDNEG
2006-06-06,MEDNEG
2006-06-07,SMAPOS
2006-06-08,MEDNEG
2006-06-09,MEDNEG
2006-06-10,MEDNEG
2006-06-11,MEDNEG
2006-06-12,MEDNEG
2006-06-13,MEDPOS
2006-06-14,BIGPOS
2006-06-15,SMANEG
2006-06-16,MEDNEG
2006-06-17,MEDNEG
2006-06-18,MEDNEG
2006-06-19,MEDPOS
2006-06-20,MEDPOS
2006-06-21,MEDNEG
2006-06-22,MEDNEG
2006-06-23,MEDPOS
2006-06-24,MEDPOS
2006-06-25,MEDPOS
2006-06-26,MEDNEG
2006-06-27,MEDPOS
2006-06-28,BIGPOS
2006-06-29,MEDNEG
2006-06-30,MEDPOS
2006-07-01,MEDPOS
2006-07-02,MEDPOS
2006-07-03,MEDNEG
2006-07-04,MEDNEG
2006-07-05,MEDPOS
2006-07-06,BIGNEG
2006-07-07,SMAPOS
2006-07-08,SMAPOS
2006-07-09,SMAPOS
2006-07-10,MEDPOS
2006-07-11,MEDNEG
2006-07-12,BIGNEG
2006-07-13,MEDNEG
2006-07-14,SMAPOS
2006-07-15,SMAPOS
2006-07-16,SMAPOS
2006-07-17,MEDPOS
2006-07-18,BIGPOS
2006-07-19,MEDNEG
2006-07-20,MEDNEG
2006-07-21,BIGPOS
2006-07-22,BIGPOS
2006-07-23,BIGPOS
2006-07-24,MEDPOS
2006-07-25,SMANEG
2006-07-26,SMANEG
2006-07-27,MEDPOS
2006-07-28,MEDNEG
2006-07-29,MEDNEG
2006-07-30,MEDNEG
2006-07-31,MEDNEG
2006-08-01,MEDPOS
2006-08-02,MEDPOS
2006-08-03,SMANEG
2006-08-04,SMANEG
2006-08-05,SMANEG
2006-08-06,SMANEG
2006-08-07,MEDNEG
2006-08-08,MEDNEG
2006-08-09,MEDPOS
2006-08-10,MEDNEG
2006-08-11,SMAPOS
2006-08-12,SMAPOS
2006-08-13,SMAPOS
2006-08-14,BIGPOS
2006-08-15,MEDPOS
2006-08-16,SMAPOS
2006-08-17,MEDPOS
2006-08-18,MEDNEG
2006-08-19,MEDNEG
2006-08-20,MEDNEG
2006-08-21,SMANEG
2006-08-22,MEDNEG
2006-08-23,SMAPOS
2006-08-24,SMANEG
2006-08-25,MEDPOS
2006-08-26,MEDPOS
2006-08-27,MEDPOS
2006-08-28,SMAPOS
2006-08-29,SMAPOS
2006-08-30,SMANEG
2006-08-31,MEDPOS
2006-09-01,SMAPOS
2006-09-02,SMAPOS
2006-09-03,SMAPOS
2006-09-04,SMAPOS
2006-09-05,MEDNEG
2006-09-06,MEDNEG
2006-09-07,MEDPOS
2006-09-08,SMAPOS
2006-09-09,SMAPOS
2006-09-10,SMAPOS
2006-09-11,MEDPOS
2006-09-12,MEDPOS
2006-09-13,SMANEG
2006-09-14,MEDPOS
2006-09-15,SMANEG
2006-09-16,SMANEG
2006-09-17,SMANEG
2006-09-18,SMANEG
2006-09-19,MEDPOS
2006-09-20,MEDNEG
2006-09-21,SMANEG
2006-09-22,MEDPOS
2006-09-23,MEDPOS
2006-09-24,MEDPOS
2006-09-25,MEDPOS
2006-09-26,SMAPOS
2006-09-27,MEDPOS
2006-09-28,MEDNEG
2006-09-29,SMANEG
2006-09-30,SMANEG
2006-10-01,SMANEG
2006-10-02,MEDPOS
2006-10-03,BIGPOS
2006-10-04,SMAPOS
2006-10-05,SMANEG
2006-10-06,SMAPOS
2006-10-07,SMAPOS
2006-10-08,SMAPOS
2006-10-09,SMAPOS
2006-10-10,SMANEG
2006-10-11,MEDPOS
2006-10-12,SMAPOS
2006-10-13,SMAPOS
2006-10-14,SMAPOS
2006-10-15,SMAPOS
2006-10-16,MEDNEG
2006-10-17,MEDPOS
2006-10-18,SMAPOS
2006-10-19,SMANEG
2006-10-20,MEDPOS
2006-10-21,MEDPOS
2006-10-22,MEDPOS
2006-10-23,SMAPOS
2006-10-24,SMAPOS
2006-10-25,MEDPOS
2006-10-26,MEDNEG
2006-10-27,SMANEG
2006-10-28,SMANEG
2006-10-29,SMANEG
2006-10-30,SMANEG
2006-10-31,MEDNEG
2006-11-01,SMANEG
2006-11-02,MEDNEG
2006-11-03,MEDPOS
2006-11-04,MEDPOS
2006-11-05,MEDPOS
2006-11-06,MEDPOS
2006-11-07,SMAPOS
2006-11-08,MEDNEG
2006-11-09,SMAPOS
2006-11-10,SMAPOS
2006-11-11,SMAPOS
2006-11-12,SMAPOS
2006-11-13,MEDPOS
2006-11-14,MEDPOS
2006-11-15,MEDPOS
2006-11-16,MEDPOS
2006-11-17,SMANEG
2006-11-18,SMANEG
2006-11-19,SMANEG
2006-11-20,SMAPOS
2006-11-21,SMAPOS
2006-11-22,MEDNEG
2006-11-23,MEDNEG
2006-11-24,BIGNEG
2006-11-25,BIGNEG
2006-11-26,BIGNEG
2006-11-27,SMAPOS
2006-11-28,MEDPOS
2006-11-29,SMANEG
2006-11-30,MEDNEG
2006-12-01,MEDPOS
2006-12-02,MEDPOS
2006-12-03,MEDPOS
2006-12-04,MEDPOS
2006-12-05,SMANEG
2006-12-06,MEDNEG
2006-12-07,MEDPOS
2006-12-08,SMAPOS
2006-12-09,SMAPOS
2006-12-10,SMAPOS
2006-12-11,SMANEG
2006-12-12,SMAPOS
2006-12-13,MEDPOS
2006-12-14,SMAPOS
2006-12-15,SMANEG
2006-12-16,SMANEG
2006-12-17,SMANEG
2006-12-18,MEDPOS
2006-12-19,SMANEG
2006-12-20,MEDNEG
2006-12-21,MEDNEG
2006-12-22,MEDPOS
2006-12-23,MEDPOS
2006-12-24,MEDPOS
2006-12-25,MEDPOS
2006-12-26,MEDPOS
2006-12-27,SMANEG
2006-12-28,MEDNEG
2006-12-29,SMAPOS
2006-12-30,SMAPOS
2006-12-31,SMAPOS
2007-01-01,SMAPOS
2007-01-02,SMAPOS
2007-01-03,SMAPOS
2007-01-04,MEDNEG
2007-01-05,SMAPOS
2007-01-06,SMAPOS
2007-01-07,SMAPOS
2007-01-08,SMANEG
2007-01-09,SMAPOS
2007-01-10,MEDPOS
2007-01-11,MEDPOS
2007-01-12,SMAPOS
2007-01-13,SMAPOS
2007-01-14,SMAPOS
2007-01-15,SMAPOS
2007-01-16,SMANEG
2007-01-17,SMANEG
2007-01-18,SMANEG
2007-01-19,MEDNEG
2007-01-20,MEDNEG
2007-01-21,MEDNEG
2007-01-22,MEDPOS
2007-01-23,MEDPOS
2007-01-24,MEDNEG
2007-01-25,SMANEG
2007-01-26,SMAPOS
2007-01-27,SMAPOS
2007-01-28,SMAPOS
2007-01-29,MEDPOS
2007-01-30,MEDPOS
2007-01-31,MEDPOS
2007-02-01,SMANEG
2007-02-02,SMAPOS
2007-02-03,SMAPOS
2007-02-04,SMAPOS
2007-02-05,SMAPOS
2007-02-06,SMAPOS
2007-02-07,MEDNEG
2007-02-08,MEDNEG
2007-02-09,MEDNEG
2007-02-10,MEDNEG
2007-02-11,MEDNEG
2007-02-12,MEDPOS
2007-02-13,MEDPOS
2007-02-14,SMAPOS
2007-02-15,SMAPOS
2007-02-16,SMAPOS
2007-02-17,SMAPOS
2007-02-18,SMAPOS
2007-02-19,SMAPOS
2007-02-20,MEDNEG
2007-02-21,MEDNEG
2007-02-22,MEDNEG
2007-02-23,SMANEG
2007-02-24,SMANEG
2007-02-25,SMANEG
2007-02-26,BIGNEG
2007-02-27,MEDPOS
2007-02-28,MEDNEG
2007-03-01,MEDNEG
2007-03-02,MEDNEG
2007-03-03,MEDNEG
2007-03-04,MEDNEG
2007-03-05,BIGPOS
2007-03-06,SMANEG
2007-03-07,MEDPOS
2007-03-08,SMAPOS
2007-03-09,MEDPOS
2007-03-10,MEDPOS
2007-03-11,MEDPOS
2007-03-12,BIGNEG
2007-03-13,MEDPOS
2007-03-14,SMAPOS
2007-03-15,MEDNEG
2007-03-16,MEDPOS
2007-03-17,MEDPOS
2007-03-18,MEDPOS
2007-03-19,MEDPOS
2007-03-20,BIGPOS
2007-03-21,SMAPOS
2007-03-22,SMAPOS
2007-03-23,SMANEG
2007-03-24,SMANEG
2007-03-25,SMANEG
2007-03-26,MEDNEG
2007-03-27,MEDNEG
2007-03-28,MEDPOS
2007-03-29,SMAPOS
2007-03-30,SMAPOS
2007-03-31,SMAPOS
2007-04-01,SMAPOS
2007-04-02,BIGPOS
2007-04-03,SMAPOS
2007-04-04,MEDPOS
2007-04-05,SMAPOS
2007-04-06,SMAPOS
2007-04-07,SMAPOS
2007-04-08,SMAPOS
2007-04-09,SMAPOS
2007-04-10,MEDNEG
2007-04-11,MEDPOS
2007-04-12,MEDPOS
2007-04-13,MEDPOS
2007-04-14,MEDPOS
2007-04-15,MEDPOS
2007-04-16,MEDPOS
2007-04-17,MEDPOS
2007-04-18,SMAPOS
2007-04-19,BIGPOS
2007-04-20,MEDNEG
2007-04-21,MEDNEG
2007-04-22,MEDNEG
2007-04-23,MEDPOS
2007-04-24,BIGPOS
2007-04-25,SMAPOS
2007-04-26,SMAPOS
2007-04-27,MEDNEG
2007-04-28,MEDNEG
2007-04-29,MEDNEG
2007-04-30,MEDPOS
2007-05-01,MEDPOS
2007-05-02,MEDPOS
2007-05-03,SMAPOS
2007-05-04,MEDPOS
2007-05-05,MEDPOS
2007-05-06,MEDPOS
2007-05-07,SMANEG
2007-05-08,MEDPOS
2007-05-09,BIGNEG
2007-05-10,MEDPOS
2007-05-11,SMAPOS
2007-05-12,SMAPOS
2007-05-13,SMAPOS
2007-05-14,MEDPOS
2007-05-15,MEDPOS
2007-05-16,SMANEG
2007-05-17,MEDPOS
2007-05-18,SMANEG
2007-05-19,SMANEG
2007-05-20,SMANEG
2007-05-21,SMANEG
2007-05-22,SMANEG
2007-05-23,MEDNEG
2007-05-24,MEDPOS
2007-05-25,SMAPOS
2007-05-26,SMAPOS
2007-05-27,SMAPOS
2007-05-28,SMAPOS
2007-05-29,MEDPOS
2007-05-30,SMANEG
2007-05-31,MEDPOS
2007-06-01,SMAPOS
2007-06-02,SMAPOS
2007-06-03,SMAPOS
2007-06-04,MEDNEG
2007-06-05,BIGNEG
2007-06-06,BIGNEG
2007-06-07,BIGPOS
2007-06-08,SMAPOS
2007-06-09,SMAPOS
2007-06-10,SMAPOS
2007-06-11,BIGNEG
2007-06-12,BIGPOS
2007-06-13,MEDPOS
2007-06-14,MEDPOS
2007-06-15,SMANEG
2007-06-16,SMANEG
2007-06-17,SMANEG
2007-06-18,SMAPOS
2007-06-19,BIGNEG
2007-06-20,MEDPOS
2007-06-21,BIGNEG
2007-06-22,SMANEG
2007-06-23,SMANEG
2007-06-24,SMANEG
2007-06-25,SMANEG
2007-06-26,MEDPOS
2007-06-27,SMANEG
2007-06-28,SMANEG
2007-06-29,BIGPOS
2007-06-30,BIGPOS
2007-07-01,BIGPOS
2007-07-02,MEDPOS
2007-07-03,SMANEG
2007-07-04,SMANEG
2007-07-05,MEDPOS
2007-07-06,MEDPOS
2007-07-07,MEDPOS
2007-07-08,MEDPOS
2007-07-09,BIGNEG
2007-07-10,MEDPOS
2007-07-11,BIGPOS
2007-07-12,MEDPOS
2007-07-13,MEDPOS
2007-07-14,MEDPOS
2007-07-15,MEDPOS
2007-07-16,SMAPOS
2007-07-17,MEDNEG
2007-07-18,MEDPOS
2007-07-19,BIGNEG
2007-07-20,MEDPOS
2007-07-21,MEDPOS
2007-07-22,MEDPOS
2007-07-23,BIGNEG
2007-07-24,MEDPOS
2007-07-25,BIGNEG
2007-07-26,BIGNEG
2007-07-27,MEDPOS
2007-07-28,MEDPOS
2007-07-29,MEDPOS
2007-07-30,BIGNEG
2007-07-31,BIGPOS
2007-08-01,MEDPOS
2007-08-02,BIGNEG
2007-08-03,BIGPOS
2007-08-04,BIGPOS
2007-08-05,BIGPOS
2007-08-06,MEDPOS
2007-08-07,BIGPOS
2007-08-08,BIGNEG
2007-08-09,MEDNEG
2007-08-10,SMANEG
2007-08-11,SMANEG
2007-08-12,SMANEG
2007-08-13,BIGNEG
2007-08-14,BIGNEG
2007-08-15,SMANEG
2007-08-16,BIGPOS
2007-08-17,MEDPOS
2007-08-18,MEDPOS
2007-08-19,MEDPOS
2007-08-20,MEDNEG
2007-08-21,BIGPOS
2007-08-22,SMANEG
2007-08-23,BIGPOS
2007-08-24,MEDNEG
2007-08-25,MEDNEG
2007-08-26,MEDNEG
2007-08-27,BIGNEG
2007-08-28,BIGPOS
2007-08-29,MEDNEG
2007-08-30,MEDPOS
2007-08-31,MEDPOS
2007-09-01,MEDPOS
2007-09-02,MEDPOS
2007-09-03,MEDPOS
2007-09-04,BIGNEG
2007-09-05,MEDPOS
2007-09-06,BIGNEG
2007-09-07,SMAPOS
2007-09-08,SMAPOS
2007-09-09,SMAPOS
2007-09-10,BIGPOS
2007-09-11,SMANEG
2007-09-12,BIGPOS
2007-09-13,SMAPOS
2007-09-14,MEDNEG
2007-09-15,MEDNEG
2007-09-16,MEDNEG
2007-09-17,BIGPOS
2007-09-18,MEDPOS
2007-09-19,MEDNEG
2007-09-20,MEDPOS
2007-09-21,MEDNEG
2007-09-22,MEDNEG
2007-09-23,MEDNEG
2007-09-24,SMAPOS
2007-09-25,MEDPOS
2007-09-26,MEDPOS
2007-09-27,SMANEG
2007-09-28,BIGPOS
2007-09-29,BIGPOS
2007-09-30,BIGPOS
2007-10-01,MEDNEG
2007-10-02,MEDNEG
2007-10-03,SMAPOS
2007-10-04,MEDPOS
2007-10-05,SMANEG
2007-10-06,SMANEG
2007-10-07,SMANEG
2007-10-08,MEDPOS
2007-10-09,MEDNEG
2007-10-10,MEDNEG
2007-10-11,MEDPOS
2007-10-12,MEDNEG
2007-10-13,MEDNEG
2007-10-14,MEDNEG
2007-10-15,MEDNEG
2007-10-16,SMANEG
2007-10-17,SMANEG
2007-10-18,BIGNEG
2007-10-19,MEDPOS
2007-10-20,MEDPOS
2007-10-21,MEDPOS
2007-10-22,MEDPOS
2007-10-23,SMANEG
2007-10-24,SMANEG
2007-10-25,BIGPOS
2007-10-26,MEDPOS
2007-10-27,MEDPOS
2007-10-28,MEDPOS
2007-10-29,MEDNEG
2007-10-30,BIGPOS
2007-10-31,BIGNEG
2007-11-01,SMAPOS
2007-11-02,MEDNEG
2007-11-03,MEDNEG
2007-11-04,MEDNEG
2007-11-05,MEDPOS
2007-11-06,BIGNEG
2007-11-07,MEDNEG
2007-11-08,BIGNEG
2007-11-09,MEDNEG
2007-11-10,MEDNEG
2007-11-11,MEDNEG
2007-11-12,BIGPOS
2007-11-13,MEDNEG
2007-11-14,MEDNEG
2007-11-15,MEDPOS
2007-11-16,BIGNEG
2007-11-17,BIGNEG
2007-11-18,BIGNEG
2007-11-19,MEDPOS
2007-11-20,BIGNEG
2007-11-21,BIGPOS
2007-11-22,BIGPOS
2007-11-23,BIGNEG
2007-11-24,BIGNEG
2007-11-25,BIGNEG
2007-11-26,BIGPOS
2007-11-27,BIGPOS
2007-11-28,SMAPOS
2007-11-29,MEDPOS
2007-11-30,MEDNEG
2007-12-01,MEDNEG
2007-12-02,MEDNEG
2007-12-03,MEDNEG
2007-12-04,BIGPOS
2007-12-05,BIGPOS
2007-12-06,SMAPOS
2007-12-07,MEDPOS
2007-12-08,MEDPOS
2007-12-09,MEDPOS
2007-12-10,BIGNEG
2007-12-11,MEDPOS
2007-12-12,MEDPOS
2007-12-13,BIGNEG
2007-12-14,BIGNEG
2007-12-15,BIGNEG
2007-12-16,BIGNEG
2007-12-17,MEDPOS
2007-12-18,SMANEG
2007-12-19,MEDPOS
2007-12-20,BIGPOS
2007-12-21,MEDPOS
2007-12-22,MEDPOS
2007-12-23,MEDPOS
2007-12-24,SMAPOS
2007-12-25,SMAPOS
2007-12-26,BIGNEG
2007-12-27,SMAPOS
2007-12-28,MEDNEG
2007-12-29,MEDNEG
2007-12-30,MEDNEG
2007-12-31,BIGNEG
2008-01-01,BIGNEG
2008-01-02,SMAPOS
2008-01-03,BIGNEG
2008-01-04,SMAPOS
2008-01-05,SMAPOS
2008-01-06,SMAPOS
2008-01-07,BIGNEG
2008-01-08,BIGPOS
2008-01-09,MEDPOS
2008-01-10,BIGNEG
2008-01-11,BIGPOS
2008-01-12,BIGPOS
2008-01-13,BIGPOS
2008-01-14,BIGNEG
2008-01-15,MEDNEG
2008-01-16,BIGNEG
2008-01-17,MEDNEG
2008-01-18,MEDNEG
2008-01-19,MEDNEG
2008-01-20,MEDNEG
2008-01-21,MEDNEG
2008-01-22,BIGPOS
2008-01-23,MEDPOS
2008-01-24,BIGNEG
2008-01-25,BIGPOS
2008-01-26,BIGPOS
2008-01-27,BIGPOS
2008-01-28,MEDPOS
2008-01-29,MEDNEG
2008-01-30,BIGPOS
2008-01-31,MEDPOS
2008-02-01,MEDNEG
2008-02-02,MEDNEG
2008-02-03,MEDNEG
2008-02-04,BIGNEG
2008-02-05,MEDNEG
2008-02-06,MEDPOS
2008-02-07,MEDNEG
2008-02-08,MEDPOS
2008-02-09,MEDPOS
2008-02-10,MEDPOS
2008-02-11,BIGPOS
2008-02-12,BIGPOS
2008-02-13,BIGNEG
2008-02-14,MEDNEG
2008-02-15,SMANEG
2008-02-16,SMANEG
2008-02-17,SMANEG
2008-02-18,SMANEG
2008-02-19,MEDPOS
2008-02-20,BIGNEG
2008-02-21,MEDPOS
2008-02-22,BIGPOS
2008-02-23,BIGPOS
2008-02-24,BIGPOS
2008-02-25,MEDPOS
2008-02-26,SMAPOS
2008-02-27,MEDNEG
2008-02-28,BIGNEG
2008-02-29,SMANEG
2008-03-01,SMANEG
2008-03-02,SMANEG
2008-03-03,MEDNEG
2008-03-04,MEDPOS
2008-03-05,BIGNEG
2008-03-06,BIGNEG
2008-03-07,BIGNEG
2008-03-08,BIGNEG
2008-03-09,BIGNEG
2008-03-10,BIGPOS
2008-03-11,MEDNEG
2008-03-12,MEDPOS
2008-03-13,BIGNEG
2008-03-14,SMAPOS
2008-03-15,SMAPOS
2008-03-16,SMAPOS
2008-03-17,BIGPOS
2008-03-18,BIGNEG
2008-03-19,BIGPOS
2008-03-20,BIGPOS
2008-03-21,BIGPOS
2008-03-22,BIGPOS
2008-03-23,BIGPOS
2008-03-24,SMANEG
2008-03-25,MEDNEG
2008-03-26,MEDNEG
2008-03-27,MEDNEG
2008-03-28,MEDPOS
2008-03-29,MEDPOS
2008-03-30,MEDPOS
2008-03-31,BIGPOS
2008-04-01,MEDNEG
2008-04-02,SMAPOS
2008-04-03,SMANEG
2008-04-04,SMAPOS
2008-04-05,SMAPOS
2008-04-06,SMAPOS
2008-04-07,MEDNEG
2008-04-08,MEDNEG
2008-04-09,MEDPOS
2008-04-10,BIGNEG
2008-04-11,SMANEG
2008-04-12,SMANEG
